PHI,Philadelphia,East,NL,Phillies
NYM,New York,East,NL,Mets
MIA,Miami,East,NL,Marlins
WAS,Washington,East,NL,Nationals
ATL,Atlanta,East,NL,Braves
CIN,Cincinnati,Central,NL,Reds
CHC,Chicago,Central,NL,Cubs
STL,St. Louis,Central,NL,Cardinals
MIL,Milwaukee,Central,NL,Brewers
PIT,Pittsburgh,Central,NL,Pirates
SF,San Francisco,West,NL,Giants
SD,San Diego,West,NL,Padres
LA,Los Angeles,West,NL,Dodgers
ARI,Arizona,West,NL,Diamondbacks
COL,Colorado,West,NL,Rockies
BOS,Boston,East,AL,Red Sox
NYY,New York,East,AL,Yankees
TB,Tampa Bay,East,AL,Rays
BAL,Baltimore,East,AL,Orioles
TOR,Toronto,East,AL,Blue Jays
CLE,Cleveland,Central,AL,Indians
CHW,Chicago,Central,AL,White Sox
DET,Detroit,Central,AL,Tigers
KC,Kansas City,Central,AL,Royals
MIN,Minnesota,Central,AL,Twins
OAK,Oakland,West,AL,Athletics
LAA,Los Angeles,West,AL,Angels
TEX,Texas,West,AL,Rangers
HOU,Houston,West,AL,Astros
SEA,Seattle,West,AL,Mariners