Brooklyn,Nets,BKN,East,Atlantic
Boston,Celtics,BOS,East,Atlantic
New York,Knicks,NYK,East,Atlantic
Philadelphia,76ers,PHI,East,Atlantic
Toronto,Raptors,TOR,East,Atlantic
Chicago,Bulls,CHI,East,Central
Cleveland,Cavaliers,CLE,East,Central
Detroit,Pistons,DET,East,Central
Indiana,Pacers,IND,East,Central
Milwaukee,Bucks,MIL,East,Central
Atlanta,Hawks,ATL,East,Southeast
Charlotte,Bobcats,CHA,East,Southeast
Miami,Heat,MIA,East,Southeast
Orlando,Magic,ORL,East,Southeast
Washington,Wizards,WAS,East,Southeast
Denver,Nuggets,DEN,West,Northwest
Minnesota,Timberwolves,MIN,West,Northwest
Oklahoma City,Thunder,OKC,West,Northwest
Portland,Trailblazers,POR,West,Northwest
Utah,Jazz,UTA,West,Northwest
Golden State,Warriors,GS,West,Pacific
Los Angeles,Clippers,LAC,West,Pacific
Los Angeles,Lakers,LAL,West,Pacific
Phoenix,Suns,PHO,West,Pacific
Sacramento,Kings,SAC,West,Pacific
Dallas,Mavericks,DAL,West,Southwest
Houston,Rockets,HOU,West,Southwest
Memphis,Grizzlies,MEM,West,Southwest
New Orleans,Hornets,NO,West,Southwest
San Antonio,Spurs,SA,West,Southwest